"ESV","Phylum","Class","Order","Family","Genus","Species"
"ESV201.1442","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_19","denovo_s_201"
"ESV202.1404","denovo_p_1","denovo_c_35","denovo_o_35","denovo_f_35","denovo_g_202","denovo_s_202"
"ESV203.1492","denovo_p_179","denovo_c_203","denovo_o_203","denovo_f_203","denovo_g_203","denovo_s_203"
"ESV204.1446","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_26","denovo_g_59","denovo_s_204"
"ESV205.1449","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_7","denovo_g_10","denovo_s_10"
"ESV206.1453","denovo_p_179","denovo_c_179","denovo_o_206","denovo_f_206","denovo_g_206","denovo_s_206"
"ESV207.1473","denovo_p_1","denovo_c_21","denovo_o_207","denovo_f_207","denovo_g_207","denovo_s_207"
"ESV208.1402","denovo_p_1","denovo_c_35","denovo_o_35","denovo_f_42","denovo_g_138","denovo_s_208"
"ESV209.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_209"
"ESV210.1442","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_161","denovo_g_210","denovo_s_210"
"ESV211.1427","denovo_p_1","denovo_c_2","denovo_o_71","denovo_f_187","denovo_g_187","denovo_s_211"
"ESV212.1441","denovo_p_114","denovo_c_114","denovo_o_114","denovo_f_114","denovo_g_114","denovo_s_212"
"ESV213.1482","denovo_p_1","denovo_c_22","denovo_o_22","denovo_f_22","denovo_g_22","denovo_s_22"
"ESV214.1450","denovo_p_1","denovo_c_56","denovo_o_56","denovo_f_56","denovo_g_214","denovo_s_214"
"ESV215.1446","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_55","denovo_g_55","denovo_s_55"
"ESV216.1462","denovo_p_5","denovo_c_5","denovo_o_5","denovo_f_5","denovo_g_216","denovo_s_216"
"ESV217.1458","denovo_p_1","denovo_c_2","denovo_o_11","denovo_f_11","denovo_g_217","denovo_s_217"
"ESV218.1449","denovo_p_5","denovo_c_7","denovo_o_105","denovo_f_105","denovo_g_218","denovo_s_218"
"ESV219.1408","denovo_p_1","denovo_c_35","denovo_o_35","denovo_f_35","denovo_g_137","denovo_s_219"
"ESV220.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_209"
"ESV221.1460","denovo_p_42","denovo_c_51","denovo_o_51","denovo_f_51","denovo_g_221","denovo_s_221"
"ESV222.1407","denovo_p_1","denovo_c_35","denovo_o_35","denovo_f_35","denovo_g_80","denovo_s_80"
"ESV223.1451","denovo_p_5","denovo_c_7","denovo_o_60","denovo_f_60","denovo_g_154","denovo_s_223"
"ESV224.1452","denovo_p_1","denovo_c_21","denovo_o_21","denovo_f_21","denovo_g_21","denovo_s_21"
"ESV225.1426","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_27","denovo_g_225","denovo_s_225"
"ESV226.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_13"
"ESV227.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_13"
"ESV228.1443","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_83","denovo_s_228"
"ESV229.1450","denovo_p_229","denovo_c_229","denovo_o_229","denovo_f_229","denovo_g_229","denovo_s_229"
"ESV230.1467","denovo_p_1","denovo_c_1","denovo_o_67","denovo_f_230","denovo_g_230","denovo_s_230"
"ESV231.1444","denovo_p_1","denovo_c_56","denovo_o_56","denovo_f_56","denovo_g_56","denovo_s_231"
"ESV232.1439","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_232","denovo_g_232","denovo_s_232"
"ESV233.1435","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_44","denovo_g_64","denovo_s_233"
"ESV234.1496","denovo_p_1","denovo_c_39","denovo_o_39","denovo_f_39","denovo_g_39","denovo_s_39"
"ESV235.1455","denovo_p_1","denovo_c_2","denovo_o_71","denovo_f_71","denovo_g_71","denovo_s_71"
"ESV236.1439","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_236","denovo_s_236"
"ESV237.1444","denovo_p_1","denovo_c_1","denovo_o_1","denovo_f_1","denovo_g_237","denovo_s_237"
"ESV238.1434","denovo_p_1","denovo_c_31","denovo_o_74","denovo_f_74","denovo_g_74","denovo_s_74"
"ESV239.1444","denovo_p_1","denovo_c_1","denovo_o_1","denovo_f_1","denovo_g_237","denovo_s_237"
"ESV240.1433","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_44","denovo_g_64","denovo_s_64"
"ESV241.1566","denovo_p_1","denovo_c_2","denovo_o_2","denovo_f_2","denovo_g_40","denovo_s_241"
"ESV242.1463","denovo_p_1","denovo_c_2","denovo_o_2","denovo_f_25","denovo_g_242","denovo_s_242"
"ESV243.1448","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_112","denovo_g_243","denovo_s_243"
"ESV244.1441","denovo_p_1","denovo_c_43","denovo_o_43","denovo_f_176","denovo_g_176","denovo_s_244"
"ESV245.1446","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_55","denovo_g_190","denovo_s_190"
"ESV246.1449","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_7","denovo_g_10","denovo_s_246"
"ESV247.1423","denovo_p_1","denovo_c_31","denovo_o_38","denovo_f_38","denovo_g_247","denovo_s_247"
"ESV248.1440","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_54","denovo_s_68"
"ESV249.1426","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_209"
"ESV250.1448","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_112","denovo_g_112","denovo_s_112"
"ESV251.1491","denovo_p_91","denovo_c_91","denovo_o_91","denovo_f_251","denovo_g_251","denovo_s_251"
"ESV252.1442","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_17","denovo_g_17","denovo_s_17"
"ESV253.1424","denovo_p_1","denovo_c_31","denovo_o_38","denovo_f_38","denovo_g_148","denovo_s_148"
"ESV254.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_13"
"ESV255.1468","denovo_p_20","denovo_c_20","denovo_o_20","denovo_f_20","denovo_g_75","denovo_s_255"
