"ESV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ESV80.1407","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","denovo_g_80","denovo_s_80"
"ESV81.1418","Bacteria","Chloroflexi","Anaerolineae","C10-SB1A","denovo_f_31","denovo_g_81","denovo_s_81"
"ESV82.1458","Bacteria","Coprothermobacterota","Coprothermobacteria","Coprothermobacterales","Coprothermobacteraceae","Coprothermobacter","Coprothermobacter_proteolyticus"
"ESV83.1445","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia","Gordonia_defluvii"
"ESV84.1442","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Tetrasphaera","denovo_s_19"
"ESV85.1481","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Trichococcus","Trichococcus_pasteurii"
"ESV86.1461","Bacteria","Firmicutes","Limnochordia","MBA03","denovo_f_86","denovo_g_86","denovo_s_86"
"ESV87.1438","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","denovo_s_87"
"ESV88.1442","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Tetrasphaera","denovo_s_19"
"ESV89.1472","Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","W5","denovo_s_49"
"ESV90.1457","Bacteria","Firmicutes","Clostridia","Hungateiclostridiaceae","Fastidiosipila","denovo_g_90","denovo_s_90"
"ESV91.1470","Bacteria","Patescibacteria","Dojkabacteria","denovo_o_91","denovo_f_91","denovo_g_91","denovo_s_91"
"ESV92.1483","Bacteria","Desulfobacterota","Syntrophobacteria","Syntrophobacterales","Syntrophobacteraceae","Syntrophobacter","denovo_s_92"
"ESV93.1476","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Thermoanaerobaculum","denovo_s_18"
"ESV94.1478","Bacteria","Caldatribacteriota","Caldatribacteriia","Caldatribacteriales","Caldatribacteriaceae","Ca_Caldatribacterium","denovo_s_69"
"ESV95.1455","Bacteria","Firmicutes","D8A-2","denovo_o_11","denovo_f_11","denovo_g_11","denovo_s_32"
"ESV96.1407","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylorosula","denovo_s_96"
"ESV97.1484","Bacteria","SAR324_cladeMarine_group_B","denovo_c_22","denovo_o_22","denovo_f_97","denovo_g_97","denovo_s_97"
"ESV98.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","Romboutsia_ilealis"
"ESV99.1434","Bacteria","Chloroflexi","Anaerolineae","SBR1031","denovo_f_74","denovo_g_74","denovo_s_74"
"ESV100.1514","Bacteria","Firmicutes","Dethiobacteria","Dethiobacterales","Dethiobacteraceae","denovo_g_100","denovo_s_100"
"ESV101.1444","Bacteria","Actinobacteriota","Actinobacteria","PeM15","denovo_f_101","denovo_g_101","denovo_s_101"
"ESV102.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","denovo_s_13"
"ESV103.1461","Bacteria","Firmicutes","Limnochordia","MBA03","denovo_f_86","denovo_g_86","denovo_s_86"
"ESV104.1413","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium_erythrophlei"
"ESV105.1455","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter","denovo_s_105"
"ESV106.1448","Bacteria","Armatimonadota","denovo_c_56","denovo_o_56","denovo_f_56","denovo_g_106","denovo_s_106"
"ESV107.1455","Bacteria","Firmicutes","D8A-2","denovo_o_11","denovo_f_11","denovo_g_11","denovo_s_11"
"ESV108.1442","Bacteria","Firmicutes","Dethiobacteria","Dethiobacterales","Dethiobacteraceae","denovo_g_37","denovo_s_37"
"ESV109.1429","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","denovo_f_109","denovo_g_109","denovo_s_109"
"ESV110.1455","Bacteria","Firmicutes","denovo_c_2","DTU014","denovo_f_48","denovo_g_110","denovo_s_110"
"ESV111.1406","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter","denovo_s_111"
"ESV112.1448","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","denovo_g_112","denovo_s_112"
"ESV113.1471","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","denovo_s_60"
"ESV114.1442","Bacteria","Bacteroidota","SJA-28","denovo_o_114","denovo_f_114","denovo_g_114","denovo_s_114"
"ESV115.1500","Bacteria","Verrucomicrobiota","Verrucomicrobiae","LD1-PB3","denovo_f_24","denovo_g_24","denovo_s_24"
"ESV116.1444","Bacteria","Armatimonadota","denovo_c_56","denovo_o_56","denovo_f_56","denovo_g_56","denovo_s_116"
"ESV117.1406","Bacteria","Chloroflexi","Anaerolineae","SBR1031","denovo_f_117","denovo_g_117","denovo_s_117"
"ESV118.1445","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Ca_Microthrix","denovo_s_3"
"ESV119.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","denovo_s_13"
"ESV120.1455","Bacteria","Firmicutes","denovo_c_2","DTU014","denovo_f_25","denovo_g_120","denovo_s_120"
"ESV121.1464","Bacteria","Firmicutes","Clostridia","Eubacteriales","Garciellaceae","denovo_g_121","denovo_s_121"
"ESV122.1481","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Trichococcus","Trichococcus_flocculiformis"
